camp_name,camp_url,camp_img_url,address,postal_code,lat,long,earliest_open_date,latest_open_date,full_season,overnight_site,roofed_lodging,tenting_available,total_sites,overnight_sites,seasonal_sites,max_amperage,electrical_water_sewer,electrical_water,electrical,no_services,max_length_of_rv,activities,accessible_facilities,boating,cable_tv,controlled_access,credit_debit_cards,dumping,group_camping,hot_tub,hotspot,wifi_at_site,laundromat,pet_friendly,planned_activities,playground,propane,pull_thru_sites,rec_hall,restaurant,store,indoor_pool,lake_river_beach,outdoor_pool,toilets_pit_outside,toilets_showers
1000 Islands/Kingston KOA,https://campinginontario.ca/1000IslandsKingstonKOA,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/6181000%20Islands%20Kingston%20KOA.jpg,"2039 Cordukes Rd, Kingston, Ontario, K7L 4V4",K7L 4V4,44.30151,-76.57545,2020-05-01,2020-10-15,1,1,1,1,117,95,22,50,0,97,0,20,80,"Casino, Farmers' market/stands, Golf (mini), Movies, Museum/heritage sites, Pedal carts, Restaurants, Shopping",1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1
1000 Islands/Mallorytown KOA Holiday Campground,https://campinginontario.ca/1000IslandsMallorytownKOACampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/51000%20Mallorytown.jpg,"1477 County Rd 2, PO Box 29, Mallorytown, Ontario, K0E 1R0",K0E 1R0,44.46956,-75.87978,2020-04-10,2020-11-01,1,1,1,1,121,105,16,50,40,67,0,14,85,"Boat tours (scenic), Casino, Fishing, Golf, Museum/heritage sites, Scuba diving, Walking/hiking trails, Ziplining",1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1
Almaguin Campground,https://campinginontario.ca/AlmaguinCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/8Almaguin%20Campground.jpg,"419 Owl Lake Rd, Katrine, Ontario, P0A 1L0",P0A 1L0,45.57136,-79.32835,2020-05-15,2020-10-15,1,1,1,0,105,5,100,30,105,0,0,0,50,"Table tennis, Volleyball, Walking/hiking trails, Basketball, Boat rental (non-motorized), Fishing, Golf (mini), Swimming (lake, river)",1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Alpine RV Resort,https://campinginontario.ca/AlpineRVResort,"https://campinginontario.ca/Uploads/Campgrounds/images/Standard/10Lindsay,%20ON.jpg","46 Alpine St, Lindsay, Ontario, K9V 4R1",K9V 4R1,44.39709,-78.75377,2020-05-15,2020-10-12,1,1,0,0,131,10,121,30,131,0,0,0,43,"ATV-friendly, Fishing, Horseshoes, Motorboats allowed, Shuffleboard, Table tennis, Volleyball, Walking/hiking trails",1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1
Amazing Rocky Park Campground,https://campinginontario.ca/AmazingRockyParkCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/668Amazing%20Rocky%20Park.jpg,"423059 Rocky Saugeen Rd, RR 1, Durham, Ontario, N0G 1R0",N0G 1R0,44.23216,-80.8259,2020-04-10,2020-10-18,1,1,1,1,130,40,90,30,67,58,0,5,45,"ATV-friendly, Basketball, Boat rental (non-motorized), Cycling, Fishing, Horseshoes, Shuffleboard, Swimming (lake, river)",0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Arran Lake RV Resort,https://campinginontario.ca/ArranLakeRVResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/17Arran%20Lake.2.JPG,"53 Conc 12 W, Allenford, Ontario, N0H 1A0",N0H 1A0,44.51282,-81.26043,2020-05-01,2020-10-31,1,1,1,1,192,22,170,30,153,37,0,2,50,"Basketball, Boat rental (non-motorized), Fishing, Horseshoes, Motorboats allowed, Swimming (lake, river), Volleyball, Water skiing",0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1
Auburn Riverside Retreat,https://campinginontario.ca/AuburnRiversideRetreat,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/18Aurburn%20Riverside%20Retreat.jpeg,"38382 Blyth Rd, Auburn, Ontario, N0M 1E0",N0M 1E0,43.7699,-81.5291,2020-05-01,2020-10-15,1,1,1,1,180,80,100,50,100,75,0,5,40,"Boat rental (non-motorized), Cycling, Fishing, Shuffleboard, Swimming (lake, river), Volleyball, Walking/hiking trails, Wildlife viewing/birding",1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
Bare Oaks Family Naturist Park,https://campinginontario.ca/BareOaksFamilyNaturistPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/24Bare%20Oaks%20Family%20Naturist%20Park.jpg,"20237 Kennedy Rd, East Gwillimbury, Ontario, L0G 1V0",L0G 1V0,44.14742,-79.37489,2020-01-01,2020-12-31,1,1,1,1,124,30,94,50,27,92,0,5,45,"Spa, Swimming (lake, river), Volleyball, Walking/hiking trails, Wildlife viewing/birding, Nude beach, Day use, Golf (mini)",0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
Barrie KOA Campground,https://campinginontario.ca/BarrieKOA,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/4718KOA-102.jpg,"3138 Penetanguishene Rd, Springwater, Ontario, L9X 1Z7",L9X 1Z7,44.51597,-79.71448,2020-05-01,2020-10-15,1,1,1,1,170,110,60,50,140,29,0,1,90,"Casino, Fishing, Golf, Mountain biking, Shopping, Swimming (lake, river), Walking/hiking trails, Wine tours",0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1
Bass Lake Park,https://campinginontario.ca/BassLakePark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/26Bass%20Lake%20Park.JPG,"179629 Grey Rd 17, Georgian Bluffs, Ontario, N0H 2T0",N0H 2T0,44.69773,-81.00829,2020-05-10,2020-10-15,1,1,0,1,102,2,100,30,102,0,0,0,40,"Basketball, Boat rental (motorized), Boat rental (non-motorized), Cycling, Fishing, Horseshoes, Swimming (lake, river), Walking/hiking trails",0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1
